country,year,military_expenditures_usd_2022,military_expenditures_current_usd,share_GDP,share_govt
Bulgaria,1994,972119166.1322656,241993434.77353293,0.0249261728620574,
Bulgaria,1995,957045196.9326962,311147105.58754694,0.0237413128378025,
Bulgaria,1996,785208913.4735821,213616356.2671104,0.0240293410901732,
Bulgaria,1997,733153328.0776136,244369396.1519252,0.0243070135492379,
Bulgaria,1998,847779835.4566946,320389011.33858985,0.0245305914743146,0.0696468263768831
Bulgaria,1999,961334612.0258732,357224539.58331066,0.0264517195633853,0.0724461623412479
Bulgaria,2000,990991727.1130196,351343204.85286915,0.0265245576158902,0.0714354112802834
Bulgaria,2001,1097510083.2449896,406003542.8043081,0.0286251954387639,0.0784747412191453
Bulgaria,2002,1107407789.7495196,455950466.5427689,0.0277967655484011,0.0792534940162356
Bulgaria,2003,1126555070.653988,569054077.4513764,0.0269120147161228,0.0752499427611997
Bulgaria,2004,1052703597.9072505,620909015.8782561,0.0237371168194049,0.0685834502103786
Bulgaria,2005,1077010802.9640472,667670395.7106465,0.0223535026726366,0.0656792900887389
Bulgaria,2006,1066196589.2268499,715719535.4236277,0.0208176190777138,0.0640532629283131
Bulgaria,2007,1247067895.9591045,990168293.6216369,0.0222853990097534,0.0672976315038523
Bulgaria,2008,1218251592.18365,1161451477.803039,0.0213186398257532,0.0637285075300586
Bulgaria,2009,971848503.608286,904961292.1112684,0.0173951150062382,0.0515092660030751
Bulgaria,2010,916663603.0554644,832549293.0099703,0.0164246152423714,0.0475325578699231
Bulgaria,2011,762274539.5976734,757931260.0429447,0.0131400025609445,0.0411217837441654
Bulgaria,2012,763319364.7124964,722052494.9903091,0.0132981896505284,0.0408945449132991
Bulgaria,2013,823362802.4207258,811634330.2320216,0.0145404283053363,0.040994001713796
Bulgaria,2014,769564175.8538455,747532532.1364387,0.0130960223173333,0.0353182488302031
Bulgaria,2015,780157157.0985041,632509635.0034006,0.0124593360652027,0.0333762000179441
Bulgaria,2016,835766594.7655139,670592858.3597237,0.0124384580804927,0.0380091657853411
Bulgaria,2017,866526181.5204779,720037970.85424,0.0122220854798634,0.0381598151301386
Bulgaria,2018,1069791597.1798925,961297274.5944963,0.0144929413825752,0.0422210442618605
Bulgaria,2019,2456210390.174172,2158557527.1894674,0.0313356898891162,0.0873624464265029
Bulgaria,2020,1230005377.567342,1119011539.8065042,0.0159346116571228,0.0421431550297416
Bulgaria,2021,1307951146.8368814,1275244890.5550857,0.0151749089579214,0.0393066815767402
Bulgaria,2022,1436901369.5197296,1436901369.5197299,0.0159228669627302,0.0422477310818075
Bulgaria,2023,1721368220.3157496,1918445357.7268107,0.0184737280288254,0.0501929385920541
