Country,Year,military_expenditures_usd,military_expenditures_pct_gdp,military_expenditures_pct_govt,Capital City,Latitude,Longitude
Cyprus,1994,298.4691268767287,0.04023989195957741,,Lefkosia (Nicosia),35.1595,33.3669
Denmark,1994,2718.7900417416736,0.01770109883360885,0.02936257422144947,København (Copenhagen),55.6759,12.5655
Finland,1994,1756.3389836682102,0.01755603595403345,0.027363978151379725,Helsinki,60.1692,24.9402
France,1994,37288.60605973399,0.02660374960351591,0.04896963771226813,Paris,48.8534,2.3488
Germany,1994,34197.7056396682,0.015502764327538884,0.03212516786985694,Berlin,52.5244,13.4105
Greece,1994,3587.244914441259,0.035819723287728866,0.0844884051738397,Athínai (Athens),37.9534,23.749
Iceland,1994,0.0,,,Reykjavík,64.1355,-21.8954
Ireland,1994,633.6993791395116,0.011087325911852441,0.02569000095501862,Dublin,53.3331,-6.2489
Italy,1994,18062.459081750043,0.017137427595510124,0.030301546336717035,Roma (Rome),41.8947,12.4811
Luxembourg,1994,113.83457348578646,0.007415614355096439,,Luxembourg,49.6117,6.13
Malta,1994,27.87026214063151,0.010240591150414119,,Valletta,35.8997,14.5147
Netherlands,1994,7137.373800973025,0.019130609754514416,0.037767013928932974,Amsterdam,52.374,4.8897
Norway,1994,3403.2912131353805,0.027331370824310686,0.05424124583914836,Oslo,59.9127,10.7461
Portugal,1994,1641.5484114288272,0.016812127583870833,0.03858699018010684,Lisboa (Lisbon),38.7169,-9.1399
Spain,1994,10092.671257377928,0.020013374021886108,0.04240081611780482,Madrid,40.4165,-3.7026
Sweden,1994,4818.836776192753,0.021314662128038165,0.03231671809134762,Stockholm,59.3326,18.0649
Switzerland,1994,3899.275420599697,0.013322840940318268,0.03983239472386956,Bern,46.9481,7.4474
United Kingdom,1994,38569.013504857394,0.033819337177653196,0.08285155576557024,London,51.5085,-0.1257
Albania,1995,50.90752177782572,0.02053587359057935,,Tiranë (Tirana),41.3275,19.8189
Bosnia and Herzegovina,1995,,,,Sarajevo,43.8486,18.3564
Bulgaria,1995,311.14710558754695,0.023741312837802533,,Sofia,42.6975,23.3242
Croatia,1995,1947.6659782438012,0.09175691322708077,0.18270619432977275,Zagreb,45.8144,15.978
Estonia,1995,36.34348758275547,0.009580983270084931,0.02354553492484527,Tallinn,59.437,24.7535
Hungary,1995,612.1848171163501,0.013247274830332782,0.023868614044448858,Budapest,47.498,19.0399
Kosovo,1995,,,,,,
Latvia,1995,43.56033105851605,0.008056568443875037,,Riga,56.946,24.1059
Lithuania,1995,30.4536125,0.004543728737946072,0.013738280088362075,Vilnius,54.6892,25.2798
North Macedonia,1995,,,,,,
Montenegro,1995,,,,Podgorica,42.4411,19.2636
Poland,1995,2719.3626339186303,0.019555070546998714,0.0409831888381343,Warszawa (Warsaw),52.2298,21.0118
Romania,1995,983.1405413912495,0.02613447685288081,0.0797685554668795,Bucuresti (Bucharest),44.4328,26.1043
Serbia,1995,,,,Beograd (Belgrade),44.8176,20.4633
Slovakia,1995,629.6226826387376,0.031545581078747116,0.06495136491998744,Bratislava,48.1482,17.1067
Slovenia,1995,334.6550228582867,0.01573034775749166,0.029513195435092725,Ljubljana,46.0511,14.5051
Belarus,1995,179.08167693776585,0.016994637694290916,,Minsk,53.9,27.5667
Moldova,1995,13.345789403443213,0.009259659367997383,0.022034520749173708,,,
Russia,1995,12741.629470405669,0.0378442996742671,,,,
Ukraine,1995,1046.7934314051606,0.027349476085158836,0.06623711340206186,Kyiv (Kiev),50.4454,30.5186
